UNITID,INSTNM,ADDR,CITY,STABBR,ZIP,FIPS,OBEREG,CHFNM,CHFTITLE,GENTELE,FAXTELE,EIN,OPEID,OPEFLAG,WEBADDR,ADMINURL,FAIDURL,APPLURL,NPRICURL,SECTOR,ICLEVEL,CONTROL,HLOFFER,UGOFFER,GROFFER,HDEGOFR1,DEGGRANT,HBCU,HOSPITAL,MEDICAL,TRIBAL,LOCALE,OPENPUBL,ACT,NEWID,DEATHYR,CLOSEDAT,CYACTIVE,POSTSEC,PSEFLAG,PSET4FLG,RPTMTH,IALIAS,INSTCAT,CCBASIC,CCIPUG,CCIPGRAD,CCUGPROF,CCENRPRF,CCSIZSET,CARNEGIE,LANDGRNT,INSTSIZE,CBSA,CBSATYPE,CSA,NECTA,F1SYSTYP,F1SYSNAM,F1SYSCOD,COUNTYCD,COUNTYNM,CNGDSTCD,LONGITUD,LATITUDE
207388,Oklahoma State University-Main Campus,107 Whitehurst,Stillwater,OK,74078-1015,40,6,President V Burns Hargis,"President, Oklahoma State University",4057445000, ,736017987,317000,1,www.okstate.edu/, ,www.okstate.edu/finaid/,admissions.okstate.edu/apply/,okstate.studentaidcalculator.com/welcome.aspx,1,1,1,9,1,1,11,1,2,2,1,2,32,1,A ,-2,-2,-2,1,1,1,1,1, ,2,16,14,14,11,4,16,15,1,5,44660,2,-2,-2,1,Oklahoma State System of Higher Education,140030,40119,Payne County,4003,-97.069743,36.123085
139931,Georgia Southern University,"Brannen Hall, 2670 Southern Drive",Statesboro,GA,30460-8126,13,5,Brooks A. Keel,President,9124785391,9124781156,586002059,157200,1,www.georgiasouthern.edu,admissions.georgiasouthern.edu/,students.georgiasouthern.edu/finaid/,admissions.georgiasouthern.edu/,www.collegeportraits.org/GA/GSOU/estimator/agree,1,1,1,9,1,1,12,1,2,2,2,2,33,1,A ,-2,-2,-2,1,1,1,1,1, ,2,17,13,12,11,3,16,21,2,5,44340,2,496,-2,1,University System of Georgia,113020,13031,Bulloch County,1312,-81.782201,32.427756
214777,Pennsylvania State University-Main Campus,201 Old Main,University Park,PA,16802-1503,42,2,Dr. Rodney A. Erickson,President,8148654700, ,246000376,332900,1,www.psu.edu/,admissions.psu.edu/,studentaid.psu.edu/,admissions.psu.edu/apply/,tuition.psu.edu/costestimate.aspx,1,1,1,9,1,1,11,1,2,1,2,2,13,1,A ,-2,-2,-2,1,1,1,1,1,Penn State,2,15,14,15,12,4,16,15,1,5,44300,1,524,-2,1,The Pennsylvania State University,142060,42027,Centre County,4205,-77.861644,40.800732
176080,Mississippi State University,Lee Boulevard,Mississippi State,MS,39762,28,5,Dr. Mark Keenum,President,6623252323, ,646000819,242300,1,www.msstate.edu/,www.admissions.msstate.edu/,www.sfa.msstate.edu/,www.msstate.edu/web/applyonline.php,www.collegeportraits.org/MS/MSU/estimator/agree,1,1,1,9,1,1,11,1,2,2,1,2,33,1,A ,-2,-2,-2,1,1,1,1,1, ,2,15,14,14,11,4,16,15,1,5,44260,2,-2,-2,1,Mississippi Institutions of Higher Learning,128010,28105,Oktibbeha County,2803,-88.78834,33.455241
179566,Missouri State University-Springfield,901 S National,Springfield,MO,65897,29,4,Mr. Cliff Smart,President,4178365000, ,446000308,250300,1,www.missouristate.edu,www.missouristate.edu/admissions/,www.missouristate.edu/FinancialAid/,https://www.missouristate.edu/futurestudents/applynow.aspx,missouristate.studentaidcalculator.com/welcome.aspx,1,1,1,9,1,1,13,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1, ,2,18,13,4,11,4,16,21,2,5,44180,1,520,-2,1,Missouri State University,129080,29077,Greene County,2907,-93.276821,37.197983
166629,University of Massachusetts-Amherst,374 Whitmore Building 181 Presidents Drive,Amherst,MA,1003,25,1,Kumble R. Subbaswamy,Chancellor,4135450111, ,43167352,222100,1,www.umass.edu,www.umass.edu/umhome/admissions.php.html,www.umass.edu/umfa/,www.spire.umass.edu/psp/heproda/EMPLOYEE/HRMS/c/UM_SELF_SERVICE.UM_ADM_GRAD_LOGIN.GBL?FolderPath=PORTAL_ROOT_OBJECT.UM_ADM_SELF_SERVICE.UM_ADM,www.umass.edu/umfa/netprice/npcalc.htm,1,1,1,9,1,1,11,1,2,2,2,2,21,1,A ,-2,-2,-2,1,1,1,1,1,UMass Amherst,2,15,8,15,12,4,17,15,1,5,44140,1,521,78100,1,University of Massachusetts,125030,25015,Hampshire County,2502,-72.52613,42.386105
236948,University of Washington-Seattle Campus,1400 NE Campus Parkway,Seattle,WA,98195-4550,53,8,Michael Young,President,2065432100, ,160001537,379800,1,www.washington.edu,admit.washington.edu/admission/,www.washington.edu/students/osfa/,admit.washington.edu/admission/,www.washington.edu/students/osfa/prospectiveug/aid.est.1.html,1,1,1,9,1,1,11,1,2,1,1,2,11,1,A ,-2,-2,-2,1,1,1,1,1,"UW-Seattle, UDub, UW, Washington",2,15,8,14,12,5,15,15,2,5,42660,1,500,-2,1,University of Washington,153010,53033,King County,5307,-122.313115,47.656213
110705,University of California-Santa Barbara,5221 Cheadle Hall,Santa Barbara,CA,93106,6,8,Henry T Yang,Chancellor,8058938000, ,956006145,132000,1,www.ucsb.edu,www.admissions.ucsb.edu/,www.finaid.ucsb.edu/,www.universityofcalifornia.edu/admissions/undergrad_adm/apply_to_uc.html,www.finaid.ucsb.edu/Prospective/AidEstimator.aspx,1,1,1,9,1,1,12,1,2,2,2,2,22,1,A ,-2,-2,-2,1,1,1,1,1,UCSB |UC Santa Barbara,2,15,5,15,13,4,16,15,2,5,42200,1,-2,-2,1,University of California,106080,6083,Santa Barbara County,624,-119.848031,34.415402
122755,San Jose State University,1 Washington Sq,San Jose,CA,95192-0001,6,8,Mo Qayoumi,President,4089241000, ,770414438,115500,1,www.sjsu.edu, , , ,www.csumentor.edu/finaid/pais/,1,1,1,7,1,1,20,1,2,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1, ,2,18,14,4,8,4,15,21,2,5,41940,1,488,-2,1,California State University,106020,6085,Santa Clara County,619,-121.881214,37.335201
110635,University of California-Berkeley,200 California Hall,Berkeley,CA,94720,6,8,Nicholas B. Dirks,Chancellor,5106426000, ,946002123,131200,1,www.berkeley.edu, , , ,calculator.berkeley.edu/,1,1,1,9,1,1,11,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,UC Berkeley,2,15,5,15,13,5,16,15,1,5,41860,1,488,-2,1,University of California,106080,6001,Alameda County,613,-122.260401,37.871519
122597,San Francisco State University,1600 Holloway Ave,San Francisco,CA,94132,6,8,Leslie Wong,President,4153381111, ,931137247,115400,1,www.sfsu.edu,www.sfsu.edu/future/appcentral/appcentral.html,www.sfsu.edu/~finaid/,www.csumentor.edu/AdmissionApp/,www.csumentor.edu/finaid/pais/,1,1,1,9,1,1,11,1,2,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1, ,2,18,11,13,8,4,15,21,2,5,41860,1,488,-2,1,California State University,106020,6075,San Francisco County,614,-122.477905,37.721345
110680,University of California-San Diego,9500 Gilman Dr,La Jolla,CA,92093,6,8,Pradeep Khosla,Chancellor,8585342230, ,956006144,131700,1,www.ucsd.edu,www.ucsd.edu/prospective-students/undergrad.html,www.ucsd.edu,www.universityofcalifornia.edu/admissions/how-to-apply/apply-online/index.html,students.ucsd.edu/finances/financial-aid/forms/calculator.html,1,1,1,9,1,1,11,1,2,1,1,2,11,1,A ,-2,-2,-2,1,1,1,1,1,UCSD |UC San Diego,2,15,5,14,13,4,16,15,2,5,41740,1,-2,-2,1,University of California,106080,6073,San Diego County,649,-117.237793,32.876598
122409,San Diego State University,5500 Campanile Dr,San Diego,CA,92182,6,8,Elliot L.Hirshman,President,6195945200, ,330373293,115100,1,www.sdsu.edu, , , ,www.csumentor.edu/finaid/pais/,1,1,1,9,1,1,14,1,2,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1, ,2,16,11,18,11,4,15,16,2,5,41740,1,-2,-2,1,California State University,106020,6073,San Diego County,653,-117.071228,32.77525
229027,The University of Texas at San Antonio,One UTSA Circle,San Antonio,TX,78249-1644,48,6,Ricardo Romo,President,2104584011, ,417171158,1011500,1,www.utsa.edu/,www.utsa.edu/admissions/,www.utsa.edu/financialaid/,www.applytexas.org,bluebook.utsa.edu/AttendanceCost.aspx,1,1,1,9,1,1,12,1,2,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1,UTSA,2,16,11,15,11,3,15,21,2,5,41700,1,-2,-2,1,The University of Texas System,148060,48029,Bexar County,4820,-98.621386,29.582418
230764,University of Utah,"201 Presidents Circle, ROOM 203",Salt Lake City,UT,84112-9008,49,7,David W. Pershing,President,8015817200, ,876000525,367500,1,www.utah.edu,www.sa.utah.edu/admiss/,www.sa.utah.edu/finance/,https://www.acs.utah.edu/prod/bin/student/admission-application?targetPage=AdmApplicationInformationPage&cmd=init,www.obia.utah.edu/content/vsa_ccc/npcalc.htm,1,1,1,9,1,1,11,1,2,1,1,2,12,1,A ,-2,-2,-2,1,1,1,1,1,The U,2,15,11,14,8,5,15,15,2,5,41620,1,482,-2,1,Utah System of Higher Education,149020,49035,Salt Lake County,4902,-111.846044,40.762484
433387,Western Governors University,"4001 East 700 South, Suite 700",Salt Lake City,UT,84107,49,7,Robert Mendenhall,President,8012743280,8012743305,841383926,3339400,1,www.wgu.edu,www.wgu.edu/admissions/requirements.asp,www.wgu.edu/tuition_financial_aid/financial_aid_application.asp,www.wgu.edu/wgu/app/app_step0.asp,www.wgu.edu/tuition_financial_aid/net_price_calculator,2,1,2,7,1,1,20,1,2,2,2,2,21,1,A ,-2,-2,-2,1,1,1,1,3,WGU |Western Governors,2,18,16,6,9,5,15,-3,2,5,41620,1,482,-2,2, ,-2,49035,Salt Lake County,4904,-111.869857,40.684783
110617,California State University-Sacramento,6000 J St,Sacramento,CA,95819-2694,6,8,Alexander Gonzalez,President,9162786011, ,680365325,115000,1,www.csus.edu,www.csus.edu/admissions/,www.csus.edu/faid/,www.csumentor.edu/AdmissionApp/,www.csumentor.edu/finaid/pais/,1,1,1,9,1,1,14,1,2,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1,Sacramento State,2,18,11,13,9,4,15,21,2,5,40900,1,472,-2,1,California State University,106020,6067,Sacramento County,606,-121.42194,38.55745
110644,University of California-Davis,One Shields Avenue,Davis,CA,95616-8678,6,8,Linda P.B. Katehi,Chancellor,5307521011, ,946036494,131300,1,www.ucdavis.edu,www.ucdavis.edu/admissions/,financialaid.ucdavis.edu/,universityofcalifornia.edu/admissions/undergrad_adm/apply/apply_online.html,financialaid.ucdavis.edu/aidEstimator/ucdcalcmain.aspx,1,1,1,9,1,1,11,1,2,1,1,2,23,1,A ,-2,-2,-2,1,1,1,1,1,UC Davis,2,15,8,14,13,4,16,15,1,5,40900,1,472,-2,1,University of California,106080,6113,Yolo County,603,-121.751958,38.539895
110671,University of California-Riverside,900 University Ave,Riverside,CA,92521,6,8,Kim A. Wilcox,Chancellor,9518271012, ,956006142,131600,1,WWW.UCR.EDU,my.ucr.edu,finaid.ucr.edu,www.universityofcalifornia.edu/admissions/undergrad_adm/apply/apply_online.html,www.finaidestimator.ucr.edu/,1,1,1,9,1,1,12,1,2,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1,UC Riverside,2,15,8,15,10,4,16,15,1,5,40140,1,348,-2,1,University of California,106080,6065,Riverside County,641,-117.331098,33.97588
234030,Virginia Commonwealth University,910 W Franklin St,Richmond,VA,23284-2512,51,5,Dr. Michael Rao,President,8048280100,8048281899,546001758,373500,1,www.vcu.edu/,www.vcu.edu/apply/,www.enrollment.vcu.edu/finaid/,www.ugrad.vcu.edu/index.html,npc.collegeboard.org/student/app/vcu,1,1,1,9,1,1,11,1,2,1,1,2,12,1,A ,-2,-2,-2,1,1,1,1,1,VCU,2,15,11,14,11,4,15,15,2,5,40060,1,-2,-2,2, ,-2,51760,Richmond city,5103,-77.453597,37.547631
199193,North Carolina State University at Raleigh,2101 Hillsborough Street,Raleigh,NC,27695-7001,37,5,Dr. W. Randolph Woodson,Chancellor,9195152011, ,566000756,297200,1,www.ncsu.edu,www.ncsu.edu/future-students/admissions/index.php,www.fis.ncsu.edu/financial_aid/,www.ncsu.edu/future-students/apply/index.php,www.collegeportraits.org/NC/NC-State/estimator/agree,1,1,1,9,1,1,11,1,2,2,1,2,11,1,A ,-2,-2,-2,1,1,1,1,1,NC State University | NC State | N C State University | N C State | NCSU,2,15,11,17,12,4,16,15,1,5,39580,1,450,-2,1,University of North Carolina,137030,37183,Wake County,3704,-78.674517,35.785111
236939,Washington State University,French Administration Building,Pullman,WA,99164-5910,53,8,Elson S. Floyd,President,5093353564,5093354902,916001108,380000,1,wsu.edu/,admission.wsu.edu/,finaid.wsu.edu,admission.wsu.edu/applications/,osfaappserver.french.wsu.edu/ofas/forms/npc,1,1,1,9,1,1,11,1,2,2,1,2,32,1,A ,-2,-2,-2,1,1,1,1,1, ,2,15,11,14,11,4,16,15,1,5,39420,2,446,-2,2, ,-2,53075,Whitman County,5305,-117.158168,46.730448
230038,Brigham Young University-Provo,Main Campus,Provo,UT,84602,49,7,Cecil O. Samuelson,President,8014224636, ,870217280,367000,1,www.byu.edu,saas.byu.edu/tools/b4byu/sites/b4/,saas.byu.edu/financialAid/,besmart.com/Admissions,saas.byu.edu/financialAid/netpricecalculator/BYU_NetPriceCalculator.htm,2,1,2,9,1,1,11,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,BYU,2,16,11,18,12,3,15,15,2,5,39340,1,482,-2,2, ,-2,49049,Utah County,4903,-111.649281,40.250851
230737,Utah Valley University,800 W University Parkway,Orem,UT,84058-5999,49,7,Matthew S. Holland,College President,8018638000,8012254677,870280648,402700,1,www.uvu.edu,www.uvu.edu/admissions/,www.uvu.edu/financialaid/,www.uvu.edu/admissions/,www.collegeportraits.org/UT/UVU/estimator/agree,1,1,1,7,1,1,20,1,2,2,2,2,13,1,A ,-2,-2,-2,1,1,1,1,1,UVU,2,22,12,-1,5,3,15,33,2,5,39340,1,482,-2,1,Utah System of Higher Education,149020,49049,Utah County,4903,-111.717058,40.278512
209807,Portland State University,724 SW Harrison,Portland,OR,97201,41,8,Wim Wiewel,President,5037253511, ,936001786,321600,1,www.pdx.edu,www.pdx.edu/admissions/profile/william-h-feyerherm,www.pdx.edu/finaid/,www.pdx.edu/admissions/apply-to-psu,www.pdx.edu/finaid/net-price-calculator,1,1,1,9,1,1,12,1,2,2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1, ,2,16,11,17,8,4,15,16,2,5,38900,1,440,-2,1,Oregon University System,141020,41051,Multnomah County,4103,-122.683553,45.511229
215293,University of Pittsburgh-Pittsburgh Campus,4200 Fifth Avenue,Pittsburgh,PA,15260,42,2,Mark A Nordenberg,Chancellor and Chief Executive Officer,4126244141, ,250965591,337900,1,www.pitt.edu,www.oafa.pitt.edu,www.oafa.pitt.edu/fahome.aspx,www.oafa.pitt.edu/applying.aspx,www.npc.pitt.edu/pittsburgh/npcalc.htm,1,1,1,9,1,1,11,1,2,2,1,2,11,1,A ,-2,-2,-2,1,1,1,1,1, ,2,15,8,14,13,5,16,15,2,5,38300,1,430,-2,1,University of Pittsburgh,142070,42003,Allegheny County,4214,-79.954692,40.444502
104151,Arizona State University-Tempe,University Drive and Mill Avenue,Tempe,AZ,85287,4,6,Michael M. Crow,President,4809659011,4809653610,860196696,108100,1,www.asu.edu/,students.asu.edu/admission,students.asu.edu/financialaid,webapp4.asu.edu/ugapp/mainmenulogic,students.asu.edu/costs,1,1,1,9,1,1,11,1,2,2,2,2,12,1,A ,-2,-2,-2,1,1,1,1,1,ASU Tempe,2,15,11,15,11,4,15,15,2,5,38060,1,-2,-2,1,Arizona Board of Regents,104010,4013,Maricopa County,409,-111.940011,33.421922
104717,Grand Canyon University,3300 W Camelback Rd,Phoenix,AZ,85017,4,6,Brian Mueller,Chief Executive Officer,8008009776,6026397838,203356009,107400,1,www.gcu.edu, , , ,www.gcu.edu,3,1,3,9,1,1,12,1,2,-2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,1, ,2,18,16,9,5,5,15,21,2,5,38060,1,-2,-2,2, ,-2,4013,Maricopa County,407,-112.129917,33.512172
372213,University of Phoenix-Online Campus,3157 E. Elwood Street,Phoenix,AZ,85034-7209,4,6,"William Pepicello, PhD",President,8667660766, ,860344364,12098850,1,www.phoenix.edu/, ,faw.phoenix.edu,myapply.phoenix.edu,www.phoenix.edu/tuition_and_financial_options/tuition_and_fees.html,3,1,3,9,1,1,12,1,2,-2,2,2,11,1,A ,-2,-2,-2,1,1,1,1,3, ,2,17,2,18,9,4,15,-3,2,5,38060,1,-2,-2,1,University of Phoenix,304820,4013,Maricopa County,407,-111.981777,33.406918
130943,University of Delaware,104 Hullihen Hall,Newark,DE,19716,10,2,Patrick T. Harker,President,3028312000,3028318000,516000297,143100,1,www.udel.edu/,www.udel.edu/admissions/,www.udel.edu/finaid/,www.udel.edu/admissions/apply/,www.udel.edu/npc/,1,1,1,9,1,1,11,1,2,2,2,2,21,1,A ,-2,-2,-2,1,1,1,1,1,UD,2,15,11,15,12,4,16,15,1,5,37980,1,428,-2,2, ,-2,10003,New Castle County,1000,-75.7536,39.679791
210809,American College of Financial Services,270 S. Bryn Mawr Ave,Bryn Mawr,PA,19010-2196,42,2,Laurence Barton,President and CEO,6105261000, ,231352008,3317300,3,www.theamericancollege.edu, , , ,www.theamericancollege.edu,2,1,2,9,2,1,12,1,2,2,2,2,21,1,A ,-2,-2,-2,1,1,1,2,3,The American College,1,29,-2,-2,-2,7,-2,55,2,5,37980,1,428,-2,2, ,-2,42045,Delaware County,4207,-75.326655,40.018084
212054,Drexel University,3141 Chestnut St,Philadelphia,PA,19104,42,2,John A. Fry,President,2158952000,2158951714,231352630,325600,1,www.drexel.edu,www.drexel.edu/admissions/overview.aspx,www.drexel.edu/financialaid/,www.drexel.edu/admissions/apply/,www.drexel.edu/undergrad/financing/calculator/,2,1,2,9,1,1,11,1,2,2,1,2,11,1,A ,-2,-2,-2,1,1,1,1,1,Drexel,2,16,14,17,13,5,16,16,2,5,37980,1,428,-2,2, ,-2,42101,Philadelphia County,4202,-75.188745,39.954855
